,prediction,label,filename,categorynames,prob_0,prob_1,prob_2,prob_3
0,0,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/535.png,potato,0.994113,0.000496391149,0.00539057748,1.90037625e-16
1,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/29.png,potato,1.80042316e-05,8.51819e-14,0.999982,1.12432374e-21]]
2,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/189.png,potato,2.64147298e-12,0.000104218205,0.999895811,4.43014179e-17
3,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/84.png,tomato,0,1.80788832e-22,0,1]]
4,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/227.png,eggplant,3.21892764e-15,1,4.40771118e-13,1.82669671e-21
5,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/41.png,tomato,1.26439501e-25,0.000111845111,1.88212872e-22,0.999888182]]
6,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/98.png,tomato,5.41806155e-09,3.31139773e-07,2.19204724e-14,0.999999642
7,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/71.png,tomato,3.98422092e-33,3.20130873e-21,1.86776141e-30,1]]
8,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/446.png,tomato,0,3.2533938e-38,0,1
9,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/273.png,potato,2.60211177e-08,2.30872488e-10,1,6.36073659e-21]]
10,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/13.png,eggplant,5.69071931e-18,1,7.16065391e-15,8.57962e-18
11,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/38.png,tomato,2.69972478e-28,5.36886473e-11,9.62835106e-25,1]]
12,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/564.png,broccoli,1,8.69898184e-19,2.51097347e-13,1.91417665e-31
13,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/643.png,potato,6.86416188e-14,6.0409234e-12,1,1.92160662e-27]]
14,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/5.png,eggplant,3.35063161e-14,1,8.61016241e-14,3.47633044e-19
15,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/481.png,eggplant,8.42458638e-20,1,8.64858261e-13,6.50849925e-13]]
16,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/243.png,tomato,0,1.99239747e-30,0,1
17,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/broccoli/53.png,broccoli,1,1.48637289e-16,1.31967604e-10,2.86746206e-25]]
18,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/eggplant/348.png,eggplant,6.23551192e-16,1,2.7267788e-10,9.32796e-16
19,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/potato/551.png,potato,2.43926645e-12,0.148792699,0.851207316,6.94076957e-12]]
20,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180802_4class/tomato/697.png,tomato,7.43664956e-22,1.42547654e-10,2.08945952e-20,1
