,prediction,label,filename,categorynames,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9
0,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/egg/egg-packed_338.png,egg,3.01070395e-06,2.80324429e-07,0.997982383,7.5850437e-08,1.45964873e-06,1.54326142e-06,0.00108237076,0.00078193628,2.61705448e-08,0.000146814389
1,9,9,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/tomato/tomato-packed_535.png,tomato,2.12078667e-05,3.64695734e-06,1.05681443e-06,6.83100909e-09,0.000163307326,0.000252533064,7.38983715e-07,1.75355126e-06,3.38892823e-06,0.999552429]]
2,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/bara/3.png,bara,0.930418551,3.25720139e-05,4.57723e-06,1.76962658e-05,0.0679908693,0.00145745696,3.19312967e-05,3.08146628e-05,7.33691604e-06,8.22364473e-06
3,7,7,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/pumpkin/pumpkin-packed_844.png,pumpkin,0.0296052545,0.000737282098,0.000206270779,0.00179423892,0.0112248864,0.0117482925,0.0114681907,0.931299865,0.000173865294,0.00174193503]]
4,5,5,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/minched/43.png,minched,0.00790120941,4.27537742e-07,5.95026904e-06,6.87185491e-07,0.0293765794,0.962565839,5.57063368e-06,2.92637083e-07,4.92182551e-07,0.00014300285
5,4,4,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/loin/3.png,loin,0.159582764,0.00151456683,0.209582701,0.000807634089,0.254641116,0.137444988,0.012889511,0.0206034109,0.000878928695,0.202054396]]
6,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/egg/egg-packed_36.png,egg,0.0689586177,0.000596587,0.790100098,0.0015047231,0.0230336431,0.077883631,0.00864122342,0.00659324648,0.000202453928,0.0224857163
7,8,8,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/shishito/shishito-packed_2.png,shishito,2.33270134e-06,0.0159285106,3.97408595e-09,3.62643041e-05,1.19222079e-06,8.57556097e-06,1.16430918e-07,1.13450142e-06,0.984016299,5.63967387e-06]]
8,9,9,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/tomato/tomato-packed_5.png,tomato,0.0111751696,0.00546747213,0.0147204362,0.0022487333,0.00280920323,0.0299998745,0.0172886122,0.00522238202,0.00265146396,0.908416748
9,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_20180918/validation/egg/egg_7.png,egg,3.97695299e-09,7.18627602e-10,0.999947309,2.43540654e-09,3.91298949e-09,4.49038184e-09,6.61266131e-06,6.33643538e-07,8.69468164e-10,4.54115652e-05]]
