author_id,author_name,admin_note,created_id,created_at,updated_id,updated_at
1,パナソニック,キッチンポケットから入手,1,2014-04-10 00:00:00,1,2014-11-10 17:05:18
2,片山由美,,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
3,ウィークックナビ,長谷川、大野,1,2014-11-11 18:09:43,1,2016-11-11 00:00:00
4,ベターホーム協会,,1,2015-09-11 10:02:19,1,2016-11-11 00:00:00
5,東京會舘,,1,2015-12-04 09:49:00,1,2016-11-11 00:00:00
6,平松サリー,"",1,2015-12-14 13:50:00,5,2018-04-05 15:44:51
7,京都大学TPEC,,1,2015-12-14 13:50:00,1,2016-11-11 00:00:00
8,大谷隆史,,1,2016-08-22 18:04:11,1,2016-11-11 00:00:00
9,東京ガス株式会社「食」情報センター,,1,2016-09-28 16:22:51,4,2016-12-28 15:33:55
10,パソナライフケア,,4,2017-01-17 15:51:41,4,2017-01-17 15:51:41
11,山崎千景,"",4,2017-02-02 10:00:46,4,2017-02-02 10:00:46
12,キューピー,ユニー専用,4,2017-02-02 10:01:14,3,2017-03-02 09:25:36
13,mizkan,ユニー専用,4,2017-02-06 10:10:23,3,2017-03-02 09:25:23
14,カゴメ,ユニー専用,3,2017-02-06 10:23:29,3,2017-03-02 09:25:09
15,ハウス食品,ユニー専用,3,2017-02-06 12:01:11,3,2017-03-02 09:24:55
16,イチビキ,ユニー専用,3,2017-02-13 14:44:54,3,2017-03-02 09:24:40
17,片山由美,B,3,2017-03-28 11:57:33,3,2017-03-28 11:57:33
18,山崎千景,B,3,2017-03-28 12:01:25,3,2017-03-28 12:01:25
19,サリー,B,3,2017-03-28 12:05:50,3,2017-03-28 12:05:50
20,ウィークックナビ,B,3,2017-03-28 12:08:41,3,2017-03-28 12:08:41
21,パナソニック,B,3,2017-03-28 12:15:59,3,2017-03-28 12:15:59
22,ベターホーム協会,B,3,2017-03-28 12:18:25,3,2017-03-28 12:18:25
23,パナソニック,ＥＳハウジング,6,2017-04-11 18:01:15,6,2017-04-11 18:01:15
24,キッコーマン,ユニー専用,9,2017-05-24 13:17:42,9,2017-05-24 13:17:42
25,日清,ユニー専用,9,2017-05-26 15:30:48,9,2017-05-26 15:30:48
26,味の素,ユニー専用,9,2017-06-12 15:23:43,9,2017-06-12 15:23:43
27,エスビー食品（株）,ユニー専用,5,2017-07-18 18:49:38,5,2017-07-18 18:50:57
28,エバラ食品工業（株）,ユニー専用,11,2017-09-20 13:53:21,11,2017-09-20 13:53:44
29,昭和女子大学,"",5,2018-01-10 13:50:55,5,2018-01-10 14:39:09
30,安部　加代子,"",5,2018-04-05 15:45:34,5,2018-04-05 15:45:34
