course_id,course_name,course_short_name,number_of_people_id,directions_detail_pattern,consider_pre_cooking,days,created_id,created_at,updated_id,updated_at
1,子育て応援献立,basic,4,1,1,5,1,2014-04-10 00:00:00,3,2017-03-16 14:27:45
2,ストックおかず,stock,4,1,1,5,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
3,ワンプレート,oneplate,4,1,1,5,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
4,子育て応援献立3日間,basic,4,1,1,3,1,2014-04-10 00:00:00,3,2017-03-16 14:29:15
5,ローソンフレッシュ献立2人前,basic,2,1,1,5,1,2014-04-10 00:00:00,3,2017-03-29 14:51:53
8,節約献立,basic,4,1,1,5,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
9,レンジで簡単まとめ調理,basic,4,1,1,5,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
10,自動提案評価用5日間,basic,4,1,1,5,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
11,自動提案評価用3日間,basic,4,1,1,3,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
12,ダイエット献立,basic,2,1,1,5,1,2014-04-10 00:00:00,3,2017-03-16 14:28:10
13,ローソンフレッシュ献立4人前,basic,4,1,1,5,1,2014-04-10 00:00:00,3,2017-03-29 14:52:22
14,一人暮らし簡単晩ご飯,basic,1,1,1,5,1,2014-04-10 00:00:00,3,2017-03-16 14:28:41
15,単体献立,basic,4,0,0,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
16,ユーザ投稿献立,basic,4,1,1,5,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
17,HACARUS献立,basic,4,1,1,4,4,2016-11-22 17:13:23,4,2016-11-22 17:13:23
18,家事代行（パソナライフケア）,pasona,4,1,1,5,4,2017-01-25 10:25:12,3,2017-03-29 14:53:34
19,ユニー様献立（Apita),5days,2,1,1,5,4,2017-01-27 15:21:42,11,2017-08-29 16:57:39
20,展示会用献立,basic,2,1,1,3,6,2017-02-06 14:52:10,3,2017-03-29 14:54:22
21,ＥＳハウジング,es4p5d,4,1,1,5,6,2017-04-11 18:02:44,6,2017-05-29 15:29:01
22,ＥＳハウジング（一人）,es1p5d,1,1,1,5,9,2017-05-25 15:23:49,6,2017-05-29 15:28:41
23,ESハウジング（シニア2人前）,es2p5d,2,1,1,5,5,2017-05-28 12:57:24,6,2017-05-29 15:29:33
24,ESハウジング（お弁当）,es4p2d,4,1,1,2,5,2017-05-28 19:27:16,6,2017-05-29 15:29:54
25,鰻活用献立,7m3days,4,1,1,3,5,2017-06-27 15:11:34,6,2017-06-28 11:06:34
26,京急百貨店（4人分×5日間）,4p5days,4,1,1,5,5,2017-07-07 14:13:16,6,2017-07-11 12:05:26
27,京急百貨店（2人分×3日間）,2p3days,2,1,1,3,5,2017-07-17 19:30:56,11,2017-12-06 11:57:13
28,Bistro体験1週間献立,7daysvol2,4,1,1,5,5,2017-08-22 11:44:59,6,2017-08-25 14:03:57
29,季節のおすすめ献立,season4p3d,4,1,1,3,6,2017-09-07 13:31:47,6,2017-09-07 13:31:47
30,Newブランドショップ（4人分×3日間）,4p3days,4,1,1,3,15,2018-03-20 13:02:05,15,2018-03-20 13:02:05
31,2品20分献立,"",4,1,1,1,15,2018-04-06 12:00:22,15,2018-04-06 12:06:36
32,藤沢まとめづくり料理体験,"",4,1,1,1,15,2018-06-07 15:42:48,15,2018-06-07 15:48:05
