directions_detail_id,recipe_id,cooking_procedure,holiday_flag,classification_id,cutting_types_id,meat_used_flag,intermediate_id,repair_flag,created_id,created_at,updated_id,updated_at
366,69,きゅうりは厚さ5mmの輪切りにして、セロリは薄切りにする。,0,1,,0,,1,1,2016-10-19 15:51:33,1,2016-11-11 00:00:00
367,69,レタスは食べ易い大きさにちぎり、ベビーリーフは洗った後、水気を切っておく。,0,1,,0,,1,1,2016-10-19 15:51:33,1,2016-11-11 00:00:00
368,69,いり胡麻をすり潰し、★材料と一緒によく混ぜ合わせて、ドレッシングを作る。,0,1,,0,,1,1,2016-10-19 15:51:33,1,2016-11-11 00:00:00
369,69,野菜を混ぜ合わせて器に盛り付け、ドレッシングをかけたら完成。,0,1,,0,,1,1,2016-10-19 15:51:33,1,2016-11-11 00:00:00
396,75,キャベツときゅうりは千切りにしてから塩を振って、しんなりさせる。,0,1,,0,,1,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
397,75,玉ねぎは薄切りにして水に約5分さらす。,0,1,,0,,1,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
398,75,ハムは千切りにする。,0,1,,0,,1,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
399,75,キャベツやきゅうりからでた水分を絞り出し、玉ねぎの水分はペーパータオルで包んだ状態で絞る。,0,1,,0,,1,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
400,75,ボウルに★の調味料を全て加えてよく混ぜ合わせてドレッシングを作り、ドレッシングの入ったボウルにカットした野菜とハムを加えて和え、器に盛り付けたら完成。,0,1,,0,,1,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
871,169,米は洗ってざるに上げておく。,0,1,,0,,1,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
872,169,★の野菜は全て5mm角に切る。,0,1,,0,,1,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
873,169,耐熱容器に米と水、コンソメ固形、塩、こしょうを加えピーマン以外の野菜を入れて蓋をしてから、電子レンジで約12分加熱する。,0,1,,0,,1,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
874,169,加熱したピラフの材料にバターを加えて一混ぜし再び電子レンジに入れて約7分加熱する。,0,1,,0,,1,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
875,169,加熱したピラフにピーマンを加えて一度混ぜたら、布巾をかけて約5分蒸らす。,0,1,,0,,1,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
876,169,ベジピラフ器に盛り付けて、パセリを散らしたら完成。,0,1,,0,,1,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
1369,265,小松菜は、塩少々(分量外)を加えた熱湯でさっと茹でる。,0,1,,0,,1,1,2016-08-04 11:07:00,1,2016-11-11 00:00:00
1370,265,茹でた小松菜を冷水に取り、ぎゅっと絞ってから長さ3cmに切る。,0,1,,0,,1,1,2016-08-04 11:07:00,1,2016-11-11 00:00:00
1371,265,ツナ缶の油を捨て、ボウルに★の調味料を入れて混ぜ合わせ、油を切ったツナと小松菜をボウルに加えて和えた後、器に盛り付けて、お好みで胡麻を振ったら完成。,0,1,,0,,1,1,2016-08-04 11:07:00,1,2016-11-11 00:00:00
1374,267,小松菜は熱湯でさっと茹でてから冷水に取り、水気を絞った小松菜を、長さ3cmに切る。,0,1,,0,,1,1,2016-10-13 10:16:42,1,2016-11-11 00:00:00
1375,267,フライパンにサラダ油を注いで火にかけ、溶き卵を流し入れてから小松菜を加え、塩とこしょうを振って軽く混ぜ合わせてから炒め、卵が好みの硬さに固まったら火を止め、器に盛り付けたら完成。,0,1,,0,,1,1,2016-10-13 10:16:42,1,2016-11-11 00:00:00
1392,271,ナスはへたを切り落とし、数か所、縦方向に切り込みを入れる。,0,1,,0,,1,1,2016-10-31 14:17:20,1,2016-11-11 00:00:00
1393,271,フライパンに蒸し器をセットして水を張り、ナスを蒸し器の中に入れてから火を点け、沸騰後、約6分蒸す。,0,1,,0,,1,1,2016-10-31 14:17:20,1,2016-11-11 00:00:00
1394,271,★の生姜をすりおろしてから、★の調味料と混ぜ合わせて生姜たれを作る。,0,1,,0,,1,1,2016-10-31 14:17:20,1,2016-11-11 00:00:00
1395,271,蒸し上がったナスのへたの部分に縦半分にする切り込みを包丁で入れ、切り込みから手で半分に裂いたナスを保存容器に移し、★の調味料で作った生姜たれを上からかける。,0,1,,0,,1,1,2016-10-31 14:17:20,1,2016-11-11 00:00:00
1396,271,蒸しナス生姜たれを、お好みで大葉を敷いたお皿に盛り付けたら完成。,0,1,,0,,1,1,2016-10-31 14:17:20,1,2016-11-11 00:00:00
1476,288,大根は皮を剥いて4cm長さの細切りにし、ツナ缶は油を切る。,0,1,,0,,1,1,2015-07-02 09:37:20,1,2016-11-11 00:00:00
1477,288,フライパンを温め胡麻油を加え、大根を炒める。,0,1,,0,,1,1,2015-07-02 09:37:20,1,2016-11-11 00:00:00
1478,288,大根がしんなりしてきたらツナ缶とstillたれを加え中火で5分、火にかける。,0,1,,0,,1,1,2015-07-02 09:37:20,1,2016-11-11 00:00:00
1479,288,更にしょう油を加えて一混ぜし、一味唐辛子と胡麻を振って器に盛り完成。,0,1,,0,,1,1,2015-07-02 09:37:20,1,2016-11-11 00:00:00
1922,1635,キャベツは千切りにする。,0,1,,0,,1,1,2016-09-15 14:32:01,1,2016-11-11 00:00:00
1923,1635,水とキャベツを鍋に入れて火にかけ、沸騰してきたら鶏がらスープの素で味付けしてから、塩とこしょうで味を調える。,0,1,,0,,1,1,2016-09-15 14:32:01,1,2016-11-11 00:00:00
1924,1635,溶き卵を上の方から鍋に流し入れて卵が浮いてきたら火を止める。,0,1,,0,,1,1,2016-09-15 14:32:01,1,2016-11-11 00:00:00
