directions_detail_id,number_of_people_id,cooking_time,defrosting_methods_id,description,created_id,created_at,updated_id,updated_at,person_exclusive_use_flag
366,4,1,,"",1,2016-10-19 15:51:33,1,2016-11-11 00:00:00,0
367,4,1,,※材料の野菜は水気を切って食べる直前まで冷蔵庫でパリッとさせると美味しい,1,2016-10-19 15:51:33,1,2016-11-11 00:00:00,0
368,4,1,,"",1,2016-10-19 15:51:33,1,2016-11-11 00:00:00,0
369,4,1,,"",1,2016-10-19 15:51:33,1,2016-11-11 00:00:00,0
396,4,1,,"",1,2016-11-01 11:34:13,1,2016-11-11 00:00:00,0
397,4,1,,"",1,2016-11-01 11:34:13,1,2016-11-11 00:00:00,0
398,4,1,,"",1,2016-11-01 11:34:13,1,2016-11-11 00:00:00,0
399,4,1,,"",1,2016-11-01 11:34:13,1,2016-11-11 00:00:00,0
400,4,1,,"",1,2016-11-01 11:34:13,1,2016-11-11 00:00:00,0
871,4,1,,"",1,2016-08-09 12:17:32,1,2016-11-11 00:00:00,0
872,4,1,,"",1,2016-08-09 12:17:32,1,2016-11-11 00:00:00,0
873,4,1,,"",1,2016-08-09 12:17:32,1,2016-11-11 00:00:00,0
874,4,1,,"",1,2016-08-09 12:17:32,1,2016-11-11 00:00:00,0
875,4,1,,"",1,2016-08-09 12:17:32,1,2016-11-11 00:00:00,0
876,4,1,,"",1,2016-08-09 12:17:32,1,2016-11-11 00:00:00,0
1369,4,1,,"",1,2016-08-04 11:07:00,1,2016-11-11 00:00:00,0
1370,4,1,,"",1,2016-08-04 11:07:00,1,2016-11-11 00:00:00,0
1371,4,1,,"",1,2016-08-04 11:07:00,1,2016-11-11 00:00:00,0
1374,4,1,,"",1,2016-10-13 10:16:42,1,2016-11-11 00:00:00,0
1375,4,1,,"",1,2016-10-13 10:16:42,1,2016-11-11 00:00:00,0
1392,4,1,,"",1,2016-10-31 14:17:20,1,2016-11-11 00:00:00,0
1393,4,1,,※ナスにスーッと串が通れば火が通ったサイン,1,2016-10-31 14:17:20,1,2016-11-11 00:00:00,0
1394,4,1,,"",1,2016-10-31 14:17:20,1,2016-11-11 00:00:00,0
1395,4,1,,※冷蔵庫で冷やしても美味しい,1,2016-10-31 14:17:20,1,2016-11-11 00:00:00,0
1396,4,1,,"",1,2016-10-31 14:17:20,1,2016-11-11 00:00:00,0
1476,4,1,,"",1,2015-07-02 09:37:20,1,2016-11-11 00:00:00,0
1477,4,1,,"",1,2015-07-02 09:37:20,1,2016-11-11 00:00:00,0
1478,4,1,,"",1,2015-07-02 09:37:20,1,2016-11-11 00:00:00,0
1479,4,1,,"",1,2015-07-02 09:37:20,1,2016-11-11 00:00:00,0
1922,4,1,,"",1,2016-09-15 14:32:01,1,2016-11-11 00:00:00,0
1923,4,1,,"",1,2016-09-15 14:32:01,1,2016-11-11 00:00:00,0
1924,4,1,,"",1,2016-09-15 14:32:01,1,2016-11-11 00:00:00,0
1925,4,1,,"",1,2016-09-15 14:32:01,1,2016-11-11 00:00:00,0
1926,4,1,,"",1,2016-09-15 13:38:44,1,2016-11-11 00:00:00,0
1927,4,1,,"",1,2016-09-15 13:38:44,1,2016-11-11 00:00:00,0
1928,4,1,,※アクが出てきたら、その都度丁寧に取り除く。,1,2016-09-15 13:38:44,1,2016-11-11 00:00:00,0
1929,4,1,,"",1,2016-09-15 13:38:44,1,2016-11-11 00:00:00,0
1930,4,1,,"",1,2016-09-15 13:38:44,1,2016-11-11 00:00:00,0
1937,4,1,,"",1,2016-08-31 09:47:18,1,2016-11-11 00:00:00,0
1938,4,1,,"",1,2016-08-31 09:47:18,1,2016-11-11 00:00:00,0
1939,4,1,,"",1,2016-08-31 09:47:18,1,2016-11-11 00:00:00,0
1960,4,1,,"",1,2016-07-27 10:52:14,1,2016-11-11 00:00:00,0
1961,4,1,,"",1,2016-07-27 10:52:14,1,2016-11-11 00:00:00,0
1962,4,1,,※フライパンに入らない場合は2回に分け、汚れていたらキッチンペーパーで都度きれいに拭き取る。,1,2016-07-27 10:52:14,1,2016-11-11 00:00:00,0
1963,4,1,,"",1,2016-07-27 10:52:14,1,2016-11-11 00:00:00,0
1987,2,1,,"",1,2016-10-05 08:52:45,1,2016-11-11 00:00:00,0
1988,2,1,,"",1,2016-10-05 08:52:45,1,2016-11-11 00:00:00,0
1989,2,1,,"",1,2016-10-05 08:52:45,1,2016-11-11 00:00:00,0
1990,2,1,,"",1,2016-10-05 08:52:45,1,2016-11-11 00:00:00,0
1991,2,1,,"",1,2016-10-05 08:52:45,1,2016-11-11 00:00:00,0
2024,4,1,,"",1,2016-09-08 14:56:12,1,2016-11-11 00:00:00,0
2025,4,1,,"",1,2016-09-08 14:56:12,1,2016-11-11 00:00:00,0
2026,4,1,,"",1,2016-09-08 14:56:12,1,2016-11-11 00:00:00,0
2027,4,1,,"",1,2016-09-08 14:56:12,1,2016-11-11 00:00:00,0
2108,4,1,,"",1,2016-07-21 09:12:48,1,2016-11-11 00:00:00,0
2109,4,1,,"",1,2016-07-21 09:12:48,1,2016-11-11 00:00:00,0
2110,4,1,,"",1,2016-07-21 09:12:48,1,2016-11-11 00:00:00,0
2111,4,1,,"",1,2016-07-21 09:12:48,1,2016-11-11 00:00:00,0
2112,4,1,,"",1,2016-07-21 09:12:48,1,2016-11-11 00:00:00,0
2252,4,1,,"",1,2016-09-29 14:49:10,1,2016-11-11 00:00:00,0
2253,4,1,,※直に食べられるが、翌日以降が更に美味しい。,1,2016-09-29 14:49:10,1,2016-11-11 00:00:00,0
2254,4,1,,"",1,2016-09-29 14:49:10,1,2016-11-11 00:00:00,0
2354,4,1,,"",1,2015-11-19 15:17:30,1,2016-11-11 00:00:00,0
2355,4,1,,"",1,2015-11-19 15:17:30,1,2016-11-11 00:00:00,0
2356,4,1,,"",1,2015-11-19 15:17:30,1,2016-11-11 00:00:00,0
2357,4,1,,"",1,2015-11-19 15:17:30,1,2016-11-11 00:00:00,0
2358,4,1,,"",1,2015-11-19 15:17:30,1,2016-11-11 00:00:00,0
2359,4,1,,"",1,2015-11-19 15:17:30,1,2016-11-11 00:00:00,0
2360,4,1,,"",1,2015-11-19 15:17:30,1,2016-11-11 00:00:00,0
2388,4,1,,"",1,2016-10-13 09:14:50,1,2016-11-11 00:00:00,0
2389,4,1,,"",1,2016-10-13 09:14:50,1,2016-11-11 00:00:00,0
2390,4,1,,"",1,2016-10-13 09:14:50,1,2016-11-11 00:00:00,0
2391,4,1,,"",1,2016-10-13 09:14:50,1,2016-11-11 00:00:00,0
2392,4,1,,"",1,2016-02-24 15:59:56,1,2016-11-11 00:00:00,0
2393,4,1,,"",1,2016-02-24 15:59:56,1,2016-11-11 00:00:00,0
2394,4,1,,"",1,2016-02-24 15:59:56,1,2016-11-11 00:00:00,0
2395,4,1,,"",1,2016-02-24 15:59:56,1,2016-11-11 00:00:00,0
2396,4,1,,"",1,2016-02-24 15:59:56,1,2016-11-11 00:00:00,0
2397,4,1,,"",1,2016-02-24 15:59:56,1,2016-11-11 00:00:00,0
2398,4,1,,"",1,2016-02-24 15:59:56,1,2016-11-11 00:00:00,0
2399,4,1,,"",1,2016-02-24 15:59:56,1,2016-11-11 00:00:00,0
2446,4,1,,"",1,2016-09-08 14:55:11,1,2016-11-11 00:00:00,0
2447,4,1,,"",1,2016-09-08 14:55:11,1,2016-11-11 00:00:00,0
2448,4,1,,"",1,2016-09-08 14:55:11,1,2016-11-11 00:00:00,0
2449,4,1,,"",1,2016-09-08 14:55:11,1,2016-11-11 00:00:00,0
2450,4,1,,"",1,2015-07-02 14:47:48,1,2016-11-11 00:00:00,0
2451,4,1,,"",1,2015-07-02 14:47:48,1,2016-11-11 00:00:00,0
2452,4,1,,※翌日から美味しく食べられます。,1,2015-07-02 14:47:48,1,2016-11-11 00:00:00,0
2453,4,1,,※お好みでゆずを香り付けに使用しても美味しいですし、果肉をくりぬいて器にすると、見た目も綺麗です,1,2015-07-02 14:47:48,1,2016-11-11 00:00:00,0
2454,4,1,,"",1,2016-10-13 13:25:53,1,2016-11-11 00:00:00,0
2455,4,1,,"",1,2016-10-13 13:25:53,1,2016-11-11 00:00:00,0
2456,4,1,,"",1,2016-10-13 13:25:53,1,2016-11-11 00:00:00,0
2457,4,1,,"",1,2016-10-13 13:25:53,1,2016-11-11 00:00:00,0
2548,4,1,,"",1,2016-02-19 12:42:02,1,2016-11-11 00:00:00,0
2549,4,1,,"",1,2016-02-19 12:42:02,1,2016-11-11 00:00:00,0
2550,4,1,,"",1,2016-02-19 12:42:02,1,2016-11-11 00:00:00,0
2562,4,1,,"",1,2016-10-13 15:24:02,1,2016-11-11 00:00:00,0
