directions_detail_pattern_id,pattern,directions_detail_id,sequence_no,created_id,created_at,updated_id,updated_at
366,0,366,1,1,2016-10-19 15:51:33,1,2016-11-11 00:00:00
367,0,367,2,1,2016-10-19 15:51:33,1,2016-11-11 00:00:00
368,0,368,3,1,2016-10-19 15:51:33,1,2016-11-11 00:00:00
369,0,369,4,1,2016-10-19 15:51:33,1,2016-11-11 00:00:00
396,0,396,1,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
397,0,397,2,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
398,0,398,3,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
399,0,399,4,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
400,0,400,5,1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
871,0,871,1,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
872,0,872,2,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
873,0,873,3,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
874,0,874,4,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
875,0,875,5,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
876,0,876,6,1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
1369,0,1369,1,1,2016-08-04 11:07:00,1,2016-11-11 00:00:00
1370,0,1370,2,1,2016-08-04 11:07:00,1,2016-11-11 00:00:00
1371,0,1371,3,1,2016-08-04 11:07:00,1,2016-11-11 00:00:00
1374,0,1374,1,1,2016-10-13 10:16:42,1,2016-11-11 00:00:00
1375,0,1375,2,1,2016-10-13 10:16:42,1,2016-11-11 00:00:00
1392,0,1392,1,1,2016-10-31 14:17:20,1,2016-11-11 00:00:00
1393,0,1393,2,1,2016-10-31 14:17:20,1,2016-11-11 00:00:00
1394,0,1394,3,1,2016-10-31 14:17:20,1,2016-11-11 00:00:00
1395,0,1395,4,1,2016-10-31 14:17:20,1,2016-11-11 00:00:00
1396,0,1396,5,1,2016-10-31 14:17:20,1,2016-11-11 00:00:00
1476,0,1476,1,1,2015-07-02 09:37:20,1,2016-11-11 00:00:00
1477,0,1477,2,1,2015-07-02 09:37:20,1,2016-11-11 00:00:00
1478,0,1478,3,1,2015-07-02 09:37:20,1,2016-11-11 00:00:00
1479,0,1479,4,1,2015-07-02 09:37:20,1,2016-11-11 00:00:00
1922,0,1922,1,1,2016-09-15 14:32:01,1,2016-11-11 00:00:00
1923,0,1923,2,1,2016-09-15 14:32:01,1,2016-11-11 00:00:00
1924,0,1924,3,1,2016-09-15 14:32:01,1,2016-11-11 00:00:00
1925,0,1925,4,1,2016-09-15 14:32:01,1,2016-11-11 00:00:00
1926,0,1926,1,1,2016-09-15 13:38:44,1,2016-11-11 00:00:00
1927,0,1927,2,1,2016-09-15 13:38:44,1,2016-11-11 00:00:00
1928,0,1928,3,1,2016-09-15 13:38:44,1,2016-11-11 00:00:00
1929,0,1929,4,1,2016-09-15 13:38:44,1,2016-11-11 00:00:00
1930,0,1930,5,1,2016-09-15 13:38:44,1,2016-11-11 00:00:00
1937,0,1937,1,1,2016-08-31 09:47:18,1,2016-11-11 00:00:00
1938,0,1938,2,1,2016-08-31 09:47:18,1,2016-11-11 00:00:00
1939,0,1939,3,1,2016-08-31 09:47:18,1,2016-11-11 00:00:00
1960,0,1960,1,1,2016-07-27 10:52:14,1,2016-11-11 00:00:00
1961,0,1961,2,1,2016-07-27 10:52:14,1,2016-11-11 00:00:00
1962,0,1962,3,1,2016-07-27 10:52:14,1,2016-11-11 00:00:00
1963,0,1963,4,1,2016-07-27 10:52:14,1,2016-11-11 00:00:00
1987,0,1987,1,1,2016-10-05 08:52:45,1,2016-11-11 00:00:00
1988,0,1988,2,1,2016-10-05 08:52:45,1,2016-11-11 00:00:00
1989,0,1989,3,1,2016-10-05 08:52:45,1,2016-11-11 00:00:00
1990,0,1990,4,1,2016-10-05 08:52:45,1,2016-11-11 00:00:00
1991,0,1991,5,1,2016-10-05 08:52:45,1,2016-11-11 00:00:00
