finish_method_on_weekdays_id,finish_method_on_weekdays,created_id,created_at,updated_id,updated_at
1,炒めるだけ,1,2014-10-03 18:04:47,1,2014-11-10 17:19:54
2,焼くだけ,1,2014-10-03 18:04:47,1,2014-11-10 17:19:57
3,蒸すだけ,1,2014-10-03 18:04:47,1,2014-11-10 17:20:01
4,炊くだけ,1,2014-10-03 18:04:47,1,2014-11-10 17:20:06
5,煮るだけ,1,2014-10-03 18:04:47,1,2014-11-10 17:20:11
6,茹でるだけ,1,2014-10-03 18:04:47,1,2014-11-10 17:20:18
7,盛りつけるだけ,1,2014-10-03 18:04:47,1,2014-11-20 11:04:27
8,和えるだけ,1,2014-10-03 18:04:47,1,2014-11-10 17:20:34
9,揚げるだけ,1,2014-10-03 18:04:47,1,2014-11-10 17:20:39
10,揚げ焼きするだけ,1,2014-10-03 18:04:47,1,2014-11-10 17:20:54
11,レンジで加熱だけ,1,2014-12-02 15:00:12,1,2016-11-11 00:00:00
