ingredient_unit_id,ingredient_id,quantity_id,standart_quantity,price,full_of_use_quantity,full_of_use_quantity_numerator,full_of_use_quantity_denominator,created_id,created_at,updated_id,updated_at
1,408,1,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
2,360,2,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
3,286,2,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
5,309,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
6,310,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
8,375,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
9,311,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
10,376,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
11,312,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
12,331,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
13,321,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
14,379,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
17,381,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
18,287,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
19,299,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
21,337,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
22,332,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
24,296,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
26,314,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
27,297,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
28,355,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
29,356,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
30,357,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
31,386,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
32,358,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
33,193,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
36,388,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
37,361,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
38,389,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
39,363,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
40,317,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
41,291,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
42,390,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
44,391,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
45,392,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
47,285,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
49,339,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
50,334,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
51,396,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
52,340,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
53,397,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
54,289,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
55,292,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
56,325,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
57,307,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
60,366,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
61,300,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
62,301,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
63,302,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
64,293,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
66,341,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
67,294,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
68,367,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
69,303,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
70,298,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
71,403,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
72,348,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
73,327,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
74,405,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
75,304,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
76,265,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
77,368,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
78,286,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
79,295,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
80,370,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
82,308,4,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
85,309,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
86,310,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
88,375,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
89,311,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
90,376,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
91,312,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
92,331,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
93,321,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
94,379,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
97,381,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
98,287,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
99,299,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
101,337,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
102,332,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
104,296,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
107,314,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
108,297,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
109,355,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
110,356,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
111,357,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
112,386,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
113,358,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
114,193,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
117,388,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
118,361,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
119,389,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
120,363,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
121,317,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
122,291,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
123,390,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
125,391,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
126,392,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
128,285,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
130,339,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
131,334,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
132,395,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
133,396,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
134,340,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
135,397,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
136,289,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
137,292,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
138,325,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
139,307,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
142,366,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
143,300,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
144,301,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
145,302,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
146,293,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
148,341,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
149,294,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
150,367,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
151,303,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
152,298,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
153,403,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
154,348,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
155,327,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
156,405,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
157,304,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
158,265,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
159,368,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
160,286,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
161,295,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
162,305,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
164,282,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
167,308,5,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
170,309,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
171,310,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
172,375,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
173,311,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
174,312,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
175,331,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
176,377,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
177,296,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
179,315,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
180,384,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
181,224,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
182,290,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
183,410,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
184,316,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
185,291,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
188,306,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
189,411,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
190,395,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
191,292,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
192,307,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
194,366,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
195,259,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
196,293,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
197,319,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
198,294,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
199,298,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
201,343,6,1,0,1,0,0,1,2014-11-10 18:08:12,1,2014-11-10 17:32:00
