ingredient_id,ingredient_name,ingredient_kana,ingredient_classification_id,ingredient_type_id,recipe_id,sweetness_flag,sourness_flag,saltiness_flag,bitterness_flag,umami_flag,spicy_flag,strong_taste_flag,deleted_at,created_id,created_at,updated_id,updated_at,admin_note,fridge_shelf_life_id,freezer_shelf_life_id
1,アスパラ,アスパラ,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 18:01:40,3,2016-12-06 13:07:12,,,
2,カイワレ大根,カイワレダイコン,101,1,,0,0,0,1,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 13:09:08,,,
3,キャベツ,キャベツ,101,1,,1,0,0,0,0,0,0,,1,2014-11-10 17:37:46,11,2017-12-22 15:05:36,"",,
4,グリーンリーフ,グリーンリーフ,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 13:14:47,,,
5,サニーレタス,サニーレタス,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 13:30:35,,,
6,サンチュ,サンチュ,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 13:35:28,,,
7,スプラウト,スプラウト,101,1,,0,0,0,1,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 13:37:42,,,
8,セロリ,セロリ,101,1,,0,0,0,1,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 13:39:33,,,
9,ニラ,ニラ,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 13:42:33,,,
10,フリフリレタス,フリフリレタス,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,11,2017-09-05 13:42:48,"",,
11,ブロッコリー,ブロッコリー,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,9,2017-04-19 15:06:55,"",,
12,ベビーリーフ,ベビーリーフ,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 13:52:36,,,
13,ほうれん草,ホウレンソウ,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 13:57:43,,,
14,みょうが,ミョウガ,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 13:59:42,,,
15,レタス,レタス,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,11,2017-12-22 15:05:57,"",,
16,わけぎ,ワケギ,101,1,,0,0,0,1,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 14:04:01,,,
17,ワサビ菜,ワサビナ,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 14:07:51,,,
18,刻みねぎ,キザミネギ,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,1,2014-11-10 17:32:00,,,
19,菜の花,ナノハナ,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 14:13:44,,,
20,三つ葉,ミツバ,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 14:16:23,,,
21,春キャベツ,ハルキャベツ,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,9,2017-04-12 12:10:09,"",,
22,春菊,シュンギク,101,1,,0,0,0,1,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 14:22:26,,,
23,小松菜,コマツナ,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 14:24:23,,,
24,水菜,ミズナ,101,1,,0,0,0,1,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 14:26:32,,,
25,青梗菜,チンゲンサイ,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,1,2015-04-16 13:20:12,,,
26,大根の葉,ダイコンノハ,101,1,,0,0,0,1,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 14:33:02,,,
27,大葉,オオバ,101,1,,0,0,0,0,0,0,0,,1,2014-11-10 17:37:46,3,2016-12-06 14:34:42,,,
