intermediate_id,intermediate_name,picture_id,fridge_shelf_life_id,freezer_shelf_life_id,partial_shelf_life_id,created_id,created_at,updated_id,updated_at
1,あげカット済,3,3,8,,1,2016-10-13 09:24:31,1,2016-11-11 00:00:00
2,あさり砂抜き済,7,10,8,,1,2016-08-05 14:28:44,1,2016-11-11 00:00:00
3,あさり砂抜き済,7,10,8,7,1,2016-02-05 16:24:59,1,2016-11-11 00:00:00
4,アスパラとベーコンのパスタセット,23,3,8,,1,2016-04-28 16:43:07,1,2016-11-11 00:00:00
5,イカ下味付,30,2,8,7,1,2016-07-12 13:55:59,1,2016-11-11 00:00:00
6,イカ刺身カット済,31,1,8,3,1,2016-09-01 10:53:20,1,2016-11-11 00:00:00
7,イカカット済,32,2,8,7,1,2016-07-19 10:18:15,1,2016-11-11 00:00:00
8,イカ輪切り済,33,2,8,7,1,2016-05-26 14:12:11,1,2016-11-11 00:00:00
9,イカとあさりのトマト煮セット,35,2,8,,1,2016-09-15 11:49:37,1,2016-11-11 00:00:00
10,イタリアングリーンサラダ_作り置き,39,3,,,1,2016-09-06 15:27:37,1,2016-11-11 00:00:00
11,鰯開いたもの,41,2,8,7,1,2016-07-08 15:40:58,1,2016-11-11 00:00:00
12,いんげんとあげのピリ辛煮_作り置き,45,3,,,1,2016-07-01 13:48:20,1,2016-11-11 00:00:00
13,いんげんと人参の胡麻和え_作り置き,47,3,,,1,2016-10-12 08:56:34,1,2016-11-11 00:00:00
14,えのきカット,54,3,8,,1,2016-10-13 14:32:43,1,2016-11-11 00:00:00
15,エビ,57,2,8,7,1,2016-06-17 15:51:13,1,2016-11-11 00:00:00
16,エビ殻付,58,,8,7,1,2016-10-07 15:06:54,1,2016-11-11 00:00:00
17,エビ下処理済,59,2,8,,1,2016-11-10 13:33:00,1,2016-11-11 00:00:00
18,エビ下処理済,59,2,8,7,1,2016-01-21 16:32:38,1,2016-11-11 00:00:00
19,エビすり身,60,2,8,,1,2016-02-05 17:20:19,1,2016-11-11 00:00:00
20,エビの生春巻き_作り置き,64,3,,,1,2016-06-27 14:11:28,1,2016-11-11 00:00:00
21,エビ餃子_作り置き,68,3,,,1,2016-09-29 15:43:02,1,2016-11-11 00:00:00
22,オムライスセット,71,3,8,,1,2016-02-09 11:27:21,1,2016-11-11 00:00:00
23,オムレツセット,74,2,8,,1,2016-10-06 13:39:38,1,2016-11-11 00:00:00
24,カジキ,77,2,8,7,1,2016-06-09 12:01:44,1,2016-11-11 00:00:00
25,カジキ,78,2,8,7,1,2015-04-07 09:42:14,1,2016-11-11 00:00:00
26,かぼちゃ、あげ,86,3,8,,1,2016-09-09 15:11:51,1,2016-11-11 00:00:00
27,かぼちゃ薄切り済,87,3,8,,1,2016-07-08 16:28:15,1,2016-11-11 00:00:00
28,かぼちゃとオクラの煮びたし_作り置き,90,3,,,1,2016-06-30 09:53:33,1,2016-11-11 00:00:00
29,かぼちゃのスープ_作り置き,94,3,8,,1,2016-07-08 13:23:00,1,2016-11-11 00:00:00
30,かぼちゃの含め煮_作り置き,97,3,,,1,2016-11-02 10:31:08,1,2016-11-11 00:00:00
31,カレイ,98,2,8,7,1,2016-07-14 10:45:12,1,2016-11-11 00:00:00
32,カレーピラフ_作り置き,102,10,8,,1,2016-08-03 14:26:51,1,2016-11-11 00:00:00
33,きのこパスタセット,111,3,8,,1,2016-03-18 14:57:36,1,2016-11-11 00:00:00
34,キャベツざく切り,112,3,8,,1,2016-06-27 10:43:01,1,2016-11-11 00:00:00
35,キャベツ千切り,113,3,8,,1,2016-09-15 14:32:01,1,2016-11-11 00:00:00
36,キャベツとハムの春巻きセット,119,3,8,,1,2016-11-04 10:14:58,1,2016-11-11 00:00:00
37,きゅうり塩もみ済,127,7,8,,1,2016-11-04 16:51:57,1,2016-11-11 00:00:00
38,きゅうりの酢の物_作り置き,129,3,,,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
