one_menu_meal_id,one_menu_course_id,one_menu_id,title,main_theme,sub_theme,release_date,release_status,created_id,created_at,updated_id,updated_at,admin_note,shoppinglist_remarks,precooking_remarks,cooking_remarks,one_day_schedule_algorithm,pre_cooking_schedule_algorithm,cooking_schedule_algorithm
188,1,188,鯖の甘酢から揚げ献立,カラリと揚げた鯖に甘酢を絡めて、さっぱりといただきます。,"",2015-12-17,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
191,1,191,ブリのカレーソテー献立,ブリは、カレー粉と絡めスパイシーに仕上げます。ナスのあっさり漬けでさっぱりと合わせます。,"",2016-03-21,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
206,1,206,簡単で美味しい鰯のかば焼き献立,照りたれでしっかり絡めた鰯を焼くだけ！ナスとイカの生姜ソースでさっぱりと,"",2016-02-29,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
220,1,220,四川風牛肉串焼きとビーフン献立,牛肉串焼きは、山椒と唐辛子でピリ辛風。野菜たっぷりビーフンと共に,"",2016-02-18,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
226,1,226,鶏ごぼうつくね献立,豆腐が入っているのでふわふわの食感が楽しめますよ！大人から子供までみんな大好き,"",2015-12-17,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
240,1,240,グリルで作るプルコギとビーフン献立,プルコギの材料を混ぜ合わせグリル皿に乗せて焼くだけ！ジューシーで美味しい,"",2016-04-15,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
246,1,246,ポテトとタラのパリパリ包み焼き献立,ほくほくポテトとタラの相性は抜群！春巻きの皮でくるんでグリルで焼くだけ！春菊のサラダと合わせて,"",2016-02-17,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
247,1,247,さんまの塩焼きと里芋イカの煮物献立,さんまをグリルで焼いている間に、里芋とイカの煮物をstillたれで煮こむだけ、簡単美味しい！,"",2016-03-05,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
248,1,248,甘辛たれで旨みUP！から揚げ献立,カリッと揚げたから揚げに、甘辛たれを絡めればジューシーさが際立ちます。レモンの酸味がきいたコールスローと合わせて,"",2016-01-27,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
250,1,250,ふわふわチキンボールと湯豆腐鍋,チキンボールはおからを入れてふんわりと揚げて。湯豆腐の漬け汁は、しょう油とstilたれで味もばっちり！,"",2016-02-27,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
256,1,256,グリルで焼いて和える簡単エビマヨ献立,カリッと焼いた香ばしいエビを、ケチャップとマヨネースで和えて。かぶのサラダ漬けは作り置きにも最適,"",2016-01-29,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
258,1,258,麻婆ナスと大根ツナのきんぴら献立,麻婆ナスと大根ツナのきんぴら、白菜スープと野菜たっぷりの献立です,"",2016-04-16,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
262,1,262,油琳鶏とさっぱりサワー漬け献立,カリッと揚げた鶏肉には、甘酸っぱいソースがよく合います。セロリ、人参、きゅうりのサワー漬けでさっぱりと,"",2016-02-09,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
264,1,264,stillたれで簡単！牛丼献立,stillたれがあれば牛丼も簡単！しょう油とstillたれを加えるだけ！ふろふき大根は、レンジで,"",2016-02-14,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
273,1,273,万能肉味噌スピード献立,万能肉味噌は作り置きしておけば、野菜炒めや麺類のトッピングにも使えて便利。時間の無い時のスピード献立。,"",2016-02-10,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
274,1,274,タラとポテトのクリームグラタン献立,淡白な白身魚に濃厚クリーミーなホワイトソースは良くあいます。副菜は、セロリとリンゴのサラダでさっぱりと,"",2016-01-30,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
281,1,281,ビールのお供に、チキンバー＆ポテト献立,下味しっかりつけて揚げるだけ、ポテトと一緒に、ビールのお供にも最高！,"",2016-03-01,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
282,1,282,和食の定番！カレイのから揚げ献立,からりと揚げたカレイはポン酢でさっぱりといただきます。色どりも栄養バランス良い三色野菜の卵炒めを合わせて,"",2016-01-31,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
283,1,283,焼き粉チーズが香ばしいチーズカツレツ献立,香ばしいチーズとジューシーなカツの組み合わせが美味しいチーズカツレツ。リンゴとセロリのサラダでさっぱりと。,"",2016-03-04,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
284,1,284,お肉と合わせてジューシー椎茸の肉詰め献立,椎茸に生姜、しょう油で味付けした鶏ミンチを乗せてグリルで焼くだけ。たこ飯は、炊飯器で炊けるのでとっても簡単！,"",2016-03-26,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
285,1,285,豚ときのこのオイスター炒め丼献立,舞茸の旨みと豚ばら肉が混ざり合い美味しい！ごはんに乗せて丼にしていただきます。,"",2016-03-27,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
292,1,292,白身魚のレモンバター焼きとトマトスープ,白身魚は野菜、エビと一緒にバター＆レモンを乗せてホイルに包んでグリルで焼くだけ！その間にトマトスープを作ります,"",2016-04-02,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
293,1,293,レンジで簡単!キャベツと豚の蒸し煮献立,蒸し煮はレンジで簡単!その間に、ほうれん草を薄焼き玉子で巻いて出来上がり!,"",2016-01-26,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
296,1,296,おから入りヘルシーハンバーグ献立,おから入りだからヘルシーなのにボリューム満点、春菊のサラダと共に,"",2016-03-02,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
299,1,299,エビ入りトマトのクリームパスタ献立,パスタのソースをレンジでチンしている間に、パスタを茹でてサラダをつくります。簡単で美味しい,"",2016-02-22,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
306,1,306,サーモンのハーブグリル献立,サーモンはハーブとにんにくと一緒にグリルして華やかな味わいに,"",2016-02-19,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
308,1,308,豚肉の長芋梅巻き献立,長芋と梅を豚肉でくるっと巻いて蒸し煮します。stillたれを加え照り焼きにすればお弁当のおかずにも最適！,"",2016-01-28,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
320,1,320,豚ときのこのオイスター炒め丼献立,豚肉は、きのこと一緒に炒めて旨みＵＰ！こってり味で白ご飯がすすみます,"",2016-02-07,2,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00,,,,,,,
10928,1,17302,麻婆豆腐献立,定番の麻婆豆腐を手作りします。ご飯がすすみますよ,"",2017-08-15,2,11,2017-07-06 17:00:34,11,2017-08-01 09:51:12,"","","","",,,
