recipe_ingredient_id,number_of_people_id,quantity_id,quantity,quantity_numerator,quantity_denominator,description,created_id,created_at,updated_id,updated_at
535,4,25,1,0,0,"",1,2016-10-19 15:51:32,1,2016-11-11 00:00:00
536,4,12,1,0,0,"",1,2016-10-19 15:51:32,1,2016-11-11 00:00:00
537,4,12,0,1,2,"",1,2016-10-19 15:51:32,1,2016-11-11 00:00:00
538,4,16,0,1,2,"",1,2016-10-19 15:51:32,1,2016-11-11 00:00:00
539,4,5,2,0,0,"",1,2016-10-19 15:51:32,1,2016-11-11 00:00:00
540,4,5,2,0,0,"",1,2016-10-19 15:51:32,1,2016-11-11 00:00:00
541,4,5,2,0,0,"",1,2016-10-19 15:51:33,1,2016-11-11 00:00:00
542,4,4,1,0,0,"",1,2016-10-19 15:51:33,1,2016-11-11 00:00:00
581,4,16,0,1,8,"",1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
582,4,12,1,0,0,"",1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
583,4,16,0,1,4,"",1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
584,4,11,4,0,0,"",1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
585,4,4,0,1,2,"",1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
586,4,5,1,0,0,"",1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
587,4,5,1,0,0,"",1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
588,4,4,1,0,0,"",1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
589,4,4,1,0,0,"",1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
590,4,2,0,0,0,"",1,2016-11-01 11:34:13,1,2016-11-11 00:00:00
1343,4,17,2,0,0,"",1,2016-08-09 12:17:31,1,2016-11-11 00:00:00
1344,4,16,0,1,2,"",1,2016-08-09 12:17:31,1,2016-11-11 00:00:00
1345,4,12,0,1,2,"",1,2016-08-09 12:17:31,1,2016-11-11 00:00:00
1346,4,16,1,0,0,"",1,2016-08-09 12:17:31,1,2016-11-11 00:00:00
1347,4,16,0,1,2,"",1,2016-08-09 12:17:31,1,2016-11-11 00:00:00
1348,4,6,380,0,0,"",1,2016-08-09 12:17:31,1,2016-11-11 00:00:00
1349,4,16,1,0,0,"",1,2016-08-09 12:17:31,1,2016-11-11 00:00:00
1350,4,4,0,1,4,"",1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
1351,4,2,0,0,0,"",1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
1352,4,7,10,0,0,"",1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
1353,4,1,0,0,0,"",1,2016-08-09 12:17:32,1,2016-11-11 00:00:00
2084,4,20,1,2,3,"",1,2016-08-04 11:07:00,1,2016-11-11 00:00:00
2085,4,18,1,0,0,"",1,2016-08-04 11:07:00,1,2016-11-11 00:00:00
2086,4,4,1,0,0,"",1,2016-08-04 11:07:00,1,2016-11-11 00:00:00
2087,4,5,4,0,0,"",1,2016-08-04 11:07:00,1,2016-11-11 00:00:00
2088,4,4,1,0,0,"",1,2016-08-04 11:07:00,1,2016-11-11 00:00:00
2094,4,20,0,2,3,"",1,2016-10-13 10:16:42,1,2016-11-11 00:00:00
2095,4,16,1,0,0,"",1,2016-10-13 10:16:42,1,2016-11-11 00:00:00
2096,4,4,1,0,0,"",1,2016-10-13 10:16:42,1,2016-11-11 00:00:00
2097,4,2,0,0,0,"",1,2016-10-13 10:16:42,1,2016-11-11 00:00:00
