recipe_season_id,recipe_id,season_start,season_end,created_id,created_at,updated_id,updated_at
42,75,1201,631,1,2014-11-13 10:41:25,1,2016-01-22 12:40:54
146,265,1201,231,1,2014-11-13 10:41:25,1,2014-11-26 11:26:18
148,267,1201,231,1,2014-11-13 10:41:25,1,2014-12-04 22:13:37
151,271,701,931,1,2014-11-13 10:41:25,1,2016-06-28 15:22:49
162,288,1101,231,1,2014-11-13 10:41:25,1,2015-02-16 21:26:42
210,1638,1201,431,1,2014-11-17 20:57:31,1,2014-11-25 11:53:12
219,1657,1101,231,1,2014-11-27 12:08:52,1,2015-10-28 14:46:14
231,1701,601,831,1,2015-01-09 12:14:02,1,2016-05-27 15:58:32
243,1737,1101,231,1,2015-02-18 16:12:43,1,2016-11-11 00:00:00
252,1788,1101,231,1,2015-04-16 10:13:03,1,2016-07-12 15:58:49
269,1814,601,931,1,2015-05-12 14:28:27,1,2016-11-11 00:00:00
271,1818,601,831,1,2015-05-12 14:32:45,1,2016-11-11 00:00:00
272,1819,601,831,1,2015-05-12 14:33:56,1,2016-11-11 00:00:00
273,1822,701,831,1,2015-05-12 14:53:26,1,2016-11-11 00:00:00
274,1823,601,831,1,2015-05-12 15:07:50,1,2016-11-11 00:00:00
275,1824,601,831,1,2015-05-12 15:08:27,1,2015-06-10 14:39:10
277,1827,701,931,1,2015-05-12 15:12:49,1,2016-02-19 15:19:01
279,1829,301,531,1,2015-05-12 15:15:41,1,2016-02-19 14:55:54
281,1833,601,831,1,2015-05-12 15:21:01,1,2016-06-07 13:03:59
284,1837,1101,231,1,2015-05-12 15:30:12,1,2016-11-11 00:00:00
292,1849,401,531,1,2015-05-12 15:51:18,1,2016-11-11 00:00:00
293,1851,1201,431,1,2015-05-12 16:02:53,1,2016-02-29 11:08:27
295,1855,601,931,1,2015-05-12 16:08:26,1,2016-11-11 00:00:00
301,1865,601,831,1,2015-05-12 16:23:39,1,2016-11-11 00:00:00
303,1869,701,831,1,2015-05-12 16:30:46,1,2016-06-07 12:19:26
304,1871,601,831,1,2015-05-13 11:24:36,1,2016-11-11 00:00:00
305,1874,701,931,1,2015-05-13 12:39:25,1,2016-11-11 00:00:00
306,1875,601,831,1,2015-05-13 12:40:29,1,2016-11-11 00:00:00
307,1878,601,831,1,2015-05-13 13:27:55,1,2015-06-10 14:23:38
311,1883,701,931,1,2015-05-13 14:40:45,1,2016-06-30 13:43:39
313,1885,901,1131,1,2015-05-13 14:51:17,1,2016-11-11 00:00:00
315,1889,1101,131,1,2015-05-13 15:48:30,1,2015-06-10 14:36:04
316,1889,401,531,1,2015-05-13 15:48:30,1,2015-06-10 14:36:04
321,1895,701,931,1,2015-05-14 16:39:51,1,2015-07-02 09:42:03
322,1896,701,931,1,2015-05-14 16:41:37,1,2016-11-11 00:00:00
323,1898,1101,231,1,2015-05-14 16:57:00,1,2015-06-10 14:25:24
324,1899,701,931,1,2015-05-14 17:01:10,1,2015-06-04 13:57:40
331,1917,701,931,1,2015-05-22 13:17:05,1,2016-11-11 00:00:00
332,1918,701,931,1,2015-05-22 13:21:18,1,2015-06-29 16:50:09
333,1919,1101,231,1,2015-05-22 13:24:36,1,2016-11-11 00:00:00
334,1919,401,531,1,2015-05-22 13:24:36,1,2016-11-11 00:00:00
348,1947,701,931,1,2015-06-16 16:42:29,1,2016-06-30 13:24:06
351,1950,1101,231,1,2015-06-16 16:47:07,1,2015-06-30 16:15:29
352,1951,401,531,1,2015-06-16 16:49:10,1,2015-06-29 12:29:58
403,2085,1201,531,1,2016-01-05 17:29:35,1,2016-01-15 12:28:06
404,2088,1101,231,1,2016-01-06 13:00:11,1,2016-01-29 13:13:41
406,2092,1101,231,1,2016-01-06 13:28:11,1,2016-02-05 14:30:30
408,2095,1101,231,1,2016-01-06 13:45:08,1,2016-11-11 00:00:00
413,2101,501,631,1,2016-01-06 14:16:11,1,2016-01-15 14:34:37
414,2101,1001,1131,1,2016-01-06 14:16:11,1,2016-01-15 14:34:37
415,2102,601,831,1,2016-01-06 14:19:39,1,2016-06-08 15:24:22
426,2157,901,1131,1,2016-05-17 15:40:03,1,2016-10-12 09:38:47
428,2164,1201,631,1,2016-05-24 13:25:19,1,2016-06-27 11:26:42
457,1721,101,1231,1,2015-02-06 23:07:51,1,2016-11-11 00:00:00
459,1738,101,1231,1,2015-02-19 09:57:26,1,2016-11-11 00:00:00
462,2103,101,1231,1,2016-01-06 14:26:28,1,2016-11-11 00:00:00
532,1809,215,515,3,2016-11-18 15:02:53,3,2016-11-18 15:02:53
533,1809,901,1031,3,2016-11-18 15:02:53,3,2016-11-18 15:02:53
573,1931,101,1231,3,2016-11-21 09:31:00,3,2016-11-21 09:31:00
614,1750,401,630,3,2016-11-21 10:50:08,3,2016-11-21 10:50:08
615,1750,1001,1130,3,2016-11-21 10:50:08,3,2016-11-21 10:50:08
671,1929,801,1130,3,2016-11-24 11:03:30,3,2016-11-24 11:03:30
679,1836,1101,331,3,2016-11-24 14:31:16,3,2016-11-24 14:31:16
681,1860,101,1231,3,2016-11-24 14:36:33,3,2016-11-24 14:36:33
684,1665,315,531,3,2016-11-24 14:47:21,3,2016-11-24 14:47:21
690,1923,801,1130,3,2016-11-24 15:00:35,3,2016-11-24 15:00:35
706,121,101,1231,3,2016-11-24 16:13:32,3,2016-11-24 16:13:32
