schedule_id,menu_id,history_no,cooking_date,recipe_id,directions_detail_id,sequence_no,directions_detail,cooking_order,start_of_cooking_time,end_of_cooking_time,indent_no,start_pararell_flag,created_id,created_at,updated_id,updated_at
24355,39,1,0,1648,10352,2,鶏もも肉は一口大に切り、塩麹に浸ける(20分),1,1,20,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24356,39,1,0,1648,10351,1,じゃがいも、人参は皮を剝き乱切りに、玉ねぎは櫛切にする,1,1.1,3.1,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24357,39,1,0,1651,10361,1,ほうれん草は洗って3cmの長さに切り、人参は千切り、玉ねぎは薄切りにする,2,4,8,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24358,39,1,0,1651,10362,2,人参、玉ねぎ、ほうれん草の順番で鍋に入れて茹でたら水分をしっかり切って容器に入れて保存,2,9,14,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24359,39,1,0,157,886,1,ブリは余分な水分をペーパーでふき取り酒を振り、保存,3,9.1,9.1,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24360,39,1,0,323,1802,1,長芋は皮を剝き10cmの長さ、1cm角の棒状にし梅は種を取りほうちょうで叩く,4,11,12,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24361,39,1,0,323,1803,2,豚肉を4枚重ねて広げ、大葉、長芋、梅干しを芯にして巻きつけたものを4本作り保存,4,13,15,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24362,39,1,0,1648,10353,3,油、鶏肉、玉ねぎ、人参、じゃがいも、水、グリンピース(冷凍)を中火で一混ぜしてから蓋をする,1,21,25,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24363,39,1,0,1648,10354,4,沸騰してきたら弱火にして8分ほど煮て保存,1,26,33,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24364,39,1,1,174,986,1,ほうれん草は熱湯で茹でた後、冷水にさらし、3cmの長さに切る,1,1,4,0,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24365,39,1,1,174,987,2,人参は千切りにして、電子レンジで2分加熱,1,1.1,2.1,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24366,39,1,1,174,988,3,野菜の水気をキッチンペーパーで取り、stillたれ、だし、しょう油で和える,1,5,5,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24367,39,1,1,174,989,4,器に盛り付けたら、ごまを振り完成,1,6,6,0,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24368,39,1,2,282,1568,2,鍋に水を入れて火にかけ沸騰してきたら鶏がらスープの素を加える,1,1,3,0,1,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
24369,39,1,2,282,1567,1,水菜は洗って1cmに切る,1,1.1,1.1,1,0,1,2014-04-10 00:00:00,1,2016-11-11 00:00:00
